Bangla,Chatgaya
একবার আম্মু ওদের দুজনকে অনেক মেরেছিল,একবার আম্মু ইতারা দুনুজনোরে বৌত মেইজ্জিল
আমি একটা কথা বলতে চাচ্ছি,আঁই এক্কান হতা হইতাম চাইদ্দি
"স্যার, ক্লাস টেস্টের ফলাফল কবে দেবেন, অনেক দিন ধরে অপেক্ষা করছি","স্যার, ক্লাস টেস্ট উর ফলাফল হত্তে দিবেন, বৌত দিন ধরি অপেক্ষা গরির"
আরো অনেক কাজ বাকি আছে,আরো বৌত হাজ বাকি আছে
বাইরে এভাবে চিৎকার করছে কে? আমার আগামীকাল পরীক্ষা,বাইরে এন গরি চিল্লেদ্দে হনে? আঁর হালিয়ে পরীক্ষে
এই গরমের মধ্যে মাঠে কাজ করা অনেক কষ্টকর,এই গরমুর মধ্যে মাঢ়োত হাজ গরন বৌত হষ্টকর
ডাক্তার বললেন বেশি রাত জেগে থাকার কারণে স্বাস্থ্যের অনেক ক্ষতি হচ্ছে,ডাক্তার হইয়্যি বেশি রাইত চেতন থাহিবের হারনে স্বাইস্থর বৌত হতি অর
দেখো আমার বাগানটা কত সুন্দর!,স আঁর বাগান ইয়েন হতো সুন্দর!
স্যার যে হোমওয়ার্ক দিয়েছে সেগুলো করেছ?,স্যার যে হোমওয়ার্ক দিয়ি এগিন গইজ্জো?
"নানুর বয়স হয়েছে, সেজন্য সবকিছু ভুলে যায়","নানির বয়স অইয়্যি, এতেল্লে বিয়াক ভুলি যায়"
আমার ছোট ভাই প্রতিদিন সকালে মাঠে দৌড়ায়,আঁর ছোডো ভাই ফইত্তুদিন বেইন্নে মাঢ়োত দূরে
"প্রশ্ন দেখে আমার মাথা ঘুরছে, কী লিখব বুঝছি না","প্রশ্ন দেহি আঁর মাথা ঘুরার, কী লেইক্কুম ন বুঝির"
মনে থাকবে কি কি আনতে হবে?,মনোত থাহিবু কি কি আনন ফরিবু?
আর দু-একটা শব্দ লিখলেই আমাদের ডাটাসেট সম্পূর্ণ হয়ে যাবে,আর দুই-এক্কান শব্দ লেহিলিই আঁরার ডাটাসেট সম্পূর্ণ অই যাইবু
তোমাকে সবুজ রঙের কাপড়ে অনেক মানাবে,তোঁয়ারে সবুজ রঙুর হরে বৌত মানাইবু
"মা, আমি বন্ধুর সাথে বিকেলে একটু হাঁটতে বের হব","আম্মু, আঁই বন্ধুর লগে বিয়েলে এক্কানা আইটতাম বাইর অইয়্যুম"
তুমি আমার কথা শুনবে নাকি শুনবে না?,তুঁই কি আঁর হথা উনিবে নাকি নো উনিবে?
"আমাদের বাস কুমিল্লায় একটা হোটেলে থামবে, আমরা ওখান থেকে রাতের খাবার খেয়ে নেব","আঁরার বাস কুমিল্লেত এক্কান হোটেলুত থামিবু, আঁরা এনডেত্তুন রাতিয়ের হানা হায় লইয়্যুম"
তোমাকে হাসলে অনেক সুন্দর লাগে,তোঁয়ারে আ'সিলি বৌত সুন্দর লাগে
"লিখতে লিখতে আমার হাত ব্যথা হয়ে গেছে, তাও লেখা শেষ হয় না","লেখতে লেখতে আঁর আত ব্যথা অই গেইয়্যি, তাও লেহা শেষ ন অর"
"আমার বউটা অনেক ভাগ্যবৌতী, সে ঘরে আসার পর থেকে সবকিছু ভালো হচ্ছে","আঁর বউ ইবে বৌত ভেগ্যবৌতী, ইবে ঘরুত আইবের পরুত্তুন বিয়াক কিছু ভালা অর"
"বেশি ঠান্ডা লাগছে, ফ্যানটা বন্ধ করো","বেশি ঠান্ডা লার, ফ্যান ইবে বন গরো"
"আগে যে শাড়িটা নিয়েছিলাম, ওটার মতো আরেকটা শাড়ি দিন","আগে যে শারি গান লইলাম, ইয়েনুর মতন আরেক্কান শারি দন"
"সে প্রতিদিন দুপুরে অফিসের ক্যান্টিনে খায়, বাড়ি থেকে টিফিন আনে না","ইবে ফইত্তুদিন দুইজ্জে অফিসুর ক্যান্টিনুত হায়, বারিত্তুন টিফিন ন আনে"
"মারুফ, তোর আপুকে একটু মেহেদি লাগিয়ে দে","মারুফ, তুর আফারে এক্কানা মে'দি লাগায় দে"
"আকাশে কালো মেঘ জমছে, মনে হচ্ছে আজকে রাতে ভারী বৃষ্টি হবে","আকাশুত হালা মৌলো জইম্মি, মনে অদ্দে আজিয়ে রাতিয়ে ভারী বৃষ্টি অইবু"
"তোর আপুর প্রেশার বেড়ে গেছে, জলদি একটা ডাক্তার নিয়ে আয়","তুর আফার প্রেশার বারি গেইয়্যি, হারা উজ্ঞো ডাক্তোর লই আয়"
"বন্যার পানিতে যাদের ক্ষতি হয়েছে, তাদেরকে সরকারের পক্ষ থেকে কিছু টাকা ক্ষতিপূরণ দেওয়া হবে","বন্যার পানিত যারার হতি অইয়্যি, ইতারারে সরকারুর পক্ষত্তুন কিছু টিয়া হতিফুরন দিবু"
তুমি কি জান আজকে কি হয়েছে?,তুঁই কি হইত পারো আজিয়ে কি অইয়্যি?
"আমার সাথে ছোট বাচ্চা আছে, তাই একটু সামনের সিট দিলে ভালো হতো","আঁর লগে ছোডো ফুওয়া আছে, এতেল্লে এক্কানা সামনুর সিট দিলি ভালা অইতু"
"আমার ঘরে ঝামেলা করছে, তাই যেতে পারছি না","আঁরো ঘরুত ঝামিলে গরের, এতেল্লে যাইত ন ফারির"
নানুর বাড়ি থেকে খালুর বাড়ি কম যাওয়া হয়,নানারো বারিত্তুন হালারো বারিত হম যন অয়
গরম কাপড় পড়ে বের হয়েছেন তো? আজকে বাইরে বেশি ঠাণ্ডা,গরম হর পরি বাইর অইয়্যুন তো? আজিয়্যে বাইরে বেশি ঠাণ্ডা
বাজারে যাওয়ার সময় ৫০০ টাকা হারিয়ে ফেলেছি,বাজারোত যাইবের সমত ৫০০ টিয়া আঝায় ফেলাই
তুই কি পাগল হয়ে গেছিস! এসব কী বলিস?,তুই কি ফঅল অই গেইয়্যুস! এগিন কি হস?
আপনার দোকানে ছোট বাচ্চাদের কাপড়ের কালেকশন কেমন?,অঁনোর দোয়ানুত গুরো ফুওয়া অলুর হরুর কালেকশন কেন?
"সব দোষ তোমার, তোমার জন্য এসব হচ্ছে","বিয়াক দোষ তোঁয়ার, তোঁয়ার হারোনে এগিন অর"
"দরজাটা একটু বন্ধ করে দাও, বাইরে থেকে শব্দ আসছে","দরজা ইয়েন বন্ধ গরি দও, বাইরেত্তুন শব্দ আইয়্যির"
"কেউ আমাদের ওপর যাদু করেছে, না হলে আমাদের মধ্যে এত ঝগড়া কেন হচ্ছে?","কিয়াই আঁরার উদ্দি যাদু গইজ্জি, নইলি আঁরার ভিতুর এল্লেত হইজ্জে কা অর?"
"আমরা সবাই মাঠে, তুই এখন কোথায়?","আঁরা বিয়াজ্ঞুন মাঢ়োত, তুই এহন হনডে?"
"আমার পেটে আর জায়গা নাই, আর দিও না","আঁর পেডোত আর জাগা নাই, আর নইদ্দো"
"ঘরে আমার সঙ্গে কেউ ভয়ে কথাও বলে না, কখন কাকে কী শুনিয়ে দিই, তার কোনো বিশ্বাস নেই","ঘরুত আঁর লগে কিয়াই ডরে হথাও ন হয়, হত্তে হারে কি উনই দি, তার হনো বিশ্বেস নেই"
খাবার তো সব ঠান্ডা হয়ে যাচ্ছে,হানা তো বিয়াক ঠান্ডা অই যার
কেমন আছো জরিনা? তোমাকে অনেক মিস করতাছি,কেন আছো জরিনা? তোঁয়ার লাই বৌত পেট পুরের
"আর কত মানুষ নেবেন, এখানে জায়গা কোথায়?","আর হতো মানুষ লইবেন, এনডে জাগা হনডে?"
সকালের সূর্য অনেক সুন্দর,বেইন্নের সূর্য ইবে বৌত সুন্দর
"অতিরিক্ত দুশ্চিন্তা করলে মাথায় যন্ত্রণা শুরু হয়, কোনো কাজেই মন বসে না","অতিরিক্ত দুশ্চিন্তে গরিলি মাথাত যন্ত্রনা শুরু অয়, হনো হাজুত মন ন বইয়্যি"
বিপদে পড়লে তখন মানুষের আসল চেহারা দেখা যায়,বিপদুত ফরিলি তহন  মানুষুর আসল চিয়ারা দেহা যায়
"আমার এখন খেতে ইচ্ছে করছে না, তুমি খেয়ে নাও, আমি পরে খাব","আত্তুন এহন হাইতু মনে ন হর, তুঁই হায় লও, আঁই পরে হাইয়্যুম"
"তোমাকে বলেছিলাম রাত ১০টার আগে ঘুমিয়ে যেতে, আর তুমি কিনা ফোন টিপো!","তোঁয়ারে হইলাম দে রাতিয়ে ১০টার আগে ঘুমাই যাইতু, আর তুঁই কিন ফোন টিপো!"
"স্যার, এই অধ্যায়টা পরীক্ষার জন্য কতটা গুরুত্বপূর্ণ বলে মনে করেন?","স্যার, এই অধ্যায় ইবে পরীক্ষের লাই হতটা গুরুত্বপূর্ণ বলি মনে গরন?"
"কী রে, তোর চেহারা দেখে মনে হচ্ছে সারারাত ঘুমাসনি","কী রে, তোর চিয়ারা দেহি মনে অর আঁরারাইত নো ঘুমস"
"আচ্ছা ঠিকাছে, আমি মারিয়ার সঙ্গে কথা বলব, আশা করি, ও আমার কথা শুনবে","আইচ্ছে ঠিকাছে, আঁই মারিয়ার লগে হতা হইয়্যুম, আশা গরি, ইতি আঁর হতা উনিবু"
"জামিল স্যারের ক্লাসে আমার খুব বিরক্ত লাগে, কী পড়ান আগামাথা বুঝি না","জামিল স্যার উর ক্লাসুত আঁর খুব বিরক্ত লাগে, কি পরাই আগামাথা ন বুঝি"
"আগে যেগুলো খেয়েছি সেগুলো হজম করি, তারপর বাকিগুলো খাব","আগে যেগুন হায় এগুন অজম গরি, তারপর বাকিগুন হাইয়্যুম"
"না ভাই, এখানে কোনো রিকশা নেই, আপনাকে হেঁটেই হোটেলে যেতে হবে","না বদ্দা, এনডে হনো রিকশা নেই, অঁনুত্তুন আডিইরে হোটেল উত যন ফরিবু"
"আমি ডাক্তারের সিরিয়াল পেয়েছি একদম শেষে, সবই বিরক্ত লাগছে","আঁই ডাক্তারুর সিরিয়েল পাইদি এব্বেরে শেষে, বিয়াক বিরক্ত লাগের"
আমি গত দুদিন ধরে শরীরে জ্বর নিয়ে কাজ করেছি,আঁই গত দুদিন ধরি শরীলুত জ্বর লই হাজ গরির
"আজকে আসতে পারব না, অন্য আরেকদিন আসব","আজিয়ে আইত ফাইত্তাম ন, অন্য আরেকদিন আইসসুম"
"তুই কি সারাজীবন এরকম ছোট থেকে যাবি, নাকি একটু বড় হবি?","তুই কি আরা জীবন এরহম ছোডো থাহি যাইবি, নাকি এক্কানা বরো অইবি?"
"রমজানে বেশি বেশি নামাজ আর জিকির করতে হবে, আর সুযোগ হলে একটা কোরআন খতম দিতে হবে","রমজানুত বেশি বেশি নামাজ আর জিকির গরন ফরিবু, আর সুযোগ অইলি উজ্ঞো কোরআন হতম দন ফরিবু"
আমাকে আজকের কাজের টাকাগুলো দিয়ে দিন,আঁরে আজিয়ের হাজুর টিয়াগুন দি দন
সকালে উঠে কিছুক্ষণ হাঁটলে শরীর ভালো থাকে,সকালে উডি হতক্ষন আডিলি শরীল ভালা থাহে
নানু থাকলে আম্মু আর আমাদেরকে বকা দিতে পারে না,নানি থাহিলি আম্মু আর আঁরারে গেইল দিত ন ফারে
আসসালামু আলাইকুম স্যার,আসসালামু আলাইকুম স্যার
সাথে এটাও নিয়ে যাও,লগে ইবেও লই যো
"বাইরে যা ইচ্ছা কর, কিন্তু ঘরে অশান্তি করা যাবে না","বাইরে যেল্লেত ইচ্ছে গর, কিন্তু ঘরোত অশান্তি গরন যাইতু ন"
"ওকে দেখলে আমার মন চায়, একটা ঘাড়ে দিই",ইতেরে দেহিলি আত্তুন মন চায় উজ্ঞো ঘেঢ়ি বেরাই দি
কাপড়টা তো ধোয়ার পরে রঙ উঠে যাবে,হর ইবে তো ধোঅনুর পরে রঙ উডি যাইবু
"বাবা, স্যার বললেন স্কুলের বেতন আজ দিয়ে দিতে","আব্বু, স্যার হইয়্যিল স্কুলুর বেতন আজিয়ে দি দিতো"
"স্যার, একটু শুনুন, আমার একটা জরুরি কথা বলার ছিল","স্যার, এক্কানা উনন, আঁর এক্কান জরুরি হতা হইবের আছিল"
"তোর শুধু বয়সটাই বাড়ছে, কিন্তু বুদ্ধিটা বাড়ছে না","তোর উদো বয়সই বেইজ্জি, কিন্তু বুদ্ধি ন বারের"
কোনো সমস্যা হয়েছে? তোমাকে দেখে চিন্তিত মনে হচ্ছে,হনো সমস্যা অইয়্যি? তোঁয়ারে দেহি চিন্তিত মনে অর
"আজকে হঠাৎ বুকে চাপ অনুভব করছি, কী হয়েছে বুঝছি না","আজিয়ে হঠাৎ বুকুত চাপ অনুভব গরির, কি অইয়্যি ন বুঝির"
"পাগলে কী না বলে, আর ছাগলে কী না খায়",ফঅলে কী নহয় আর ছঅলে কী ন হায়
বিদেশে গেলে আমার কথা মনে থাকবে তো?,বিদেশুত গেলি আঁর হতা মনত থাহিবু তো?
"আসার সময় কতগুলো জেলে দেখলাম, তারা মাছ ধরার জন্য নদীতে যাচ্ছে","আইবের সমত হদুজ্ঞুন জেইল্লে দেইক্কি, ইতারা মাছ ধরিবের লাই দইজ্জেত যার"
"আচ্ছা ঠিক আছে, আমি এখন যাচ্ছি","আইচ্ছে ঠিক আছে, আঁই এহন যাইর"
প্রতিদিন একই কাজ করতে করতে বিরক্ত হয়ে গেছি,ফইত্তুদিন একই হাজ গত্তে গত্তে বিরক্ত অই গেই
"চট্টগ্রাম-কক্সবাজার রোড অনেক বিপদজনক, এই রোডে প্রতিদিন এক্সিডেন্ট হয়","চট্টগ্রাম-কক্সবাজার রোড বৌত বিপদজনক, এই রোড উত ফইত্তুদিন এক্সিডেন্ট অয়"
"স্যার, আপনি বলেছিলেন ক্লাস টেস্ট না নিয়ে অ্যাসাইনমেন্ট দেবেন","স্যার, অঁনে হইলেন ক্লাস টেস্ট ন লই অ্যাসাইনমেন্ট দিবেন"
"আমার ঘুম চলে আসছিল, কখন যে ঢাকায় পৌঁছে গেছি বুঝতেই পারিনি","আঁর ঘুম চলি আইসসিল, হত্তে যে ঢাহাত পৌছি গেই বুঝিতিই ন ফারি"
আমি তোমাকে অনেক অনেক ভালবাসি,আঁই তোঁয়ারে বৌত বৌত ভালবাসি
"ভাই, এক গ্লাস ঠান্ডা পানি দিন তো, খুব পানির তৃষ্ণা পেয়েছে","বদ্দা, এক গ্লাস ঠান্ডা পানি দন তো, বৌত পানির তিরেশ পেইয়্যি"
"মা, আজ একটু আগে রান্না করো, বাবার অফিসে যেতে দেরি হয়ে যাচ্ছে","মা, আজিয়ে এক্কানা আগে রান্না গরো, আব্বুর অফিসুত যাইতে দেরি অই যার"
বিয়ে আজ নাকি আগামীকাল?,বিয়ে আজিয়ে নাকি হালিয়ে?
"বন্ধু, বিড়ি খাওয়া ভাল না","বন্ধু, বিরি হন ভালা ন"
"সেহরি ভোরে খেয়েছিলাম, এখন কেন খাব?","সেহেরি ফোওয়াত্তে হাইলাম, এহন কিল্লে হাইয়্যুম?"
"মা, আমার জন্য দোয়া করিও, আজকে একটা ইন্টারভিউ দিতে যাচ্ছি","আম্মু, আঁর লাই দোয়া গইজ্জো, আজিয়ে এক্কান ইন্টারভিউ দিতাম যাইর"
মন ভালো থাকলে নাকি আশেপাশের সবকিছু সুন্দর লাগে,মন ভালা থাহিলি বলে আশেপাশের বিয়াক কিছু সুন্দর লাগে
আমি হিসাব করে দেখিনি কত টাকা আছে,আঁই হিসেব গরি ন চায় হতো টিয়া আছে
"পরীক্ষার আর বেশি দিন বাকি নাই, কিন্তু এখনো কোনো পড়ালেখা করছিনা","পরীক্ষের আর বেশি দিন বাকি নেই, কিন্তু এহনো হনো পরালেহা ন গরির"
প্রতিবেশীদের হক আদায় করা উচিত,প্রতিবেশী অক্কলোর হক আদায় গরন উচিত
"পরিবার, বন্ধু আর ভালোবাসার মানুষদের সঙ্গে সময় কাটাতে পারলে মনটা একদম ভালো হয়ে যায়","পরিবার, বন্ধু আর ভালোবাসার মানুষুর লগে সময় হাডাইত ফারিলি মন ইয়েন একদম ভালা অই যায়"
অতিরিক্ত গরমে কাজ করলে শরীর থেকে পানি বেরিয়ে যায়,অতিরিক্ত গরমুত হাজ গরিলি শরীলুত্তুন পানি বাইর অই যায়
ছোটবেলায় আমাদের পায়খানা–প্রস্রাব আম্মু পরিষ্কার করতেন,গুরো থাকতে আঁরার গু-মুত আম্মু সাফ গইত্তো
এই বৃষ্টিতে আমাদের গ্রামের কাঁচা রাস্তা একেবারে কাদায় ভরে গেছে,এই বৃষ্টিত আঁরার গ্রামুর কেচা রাস্তা একেবারে ফুটে ভরি গেইয়্যি
"ভাই, বাসের এসিটা অন করেন, অনেক গরম লাগছে","বদ্দা, বাসুর এসি ইবে অন গরন, বৌত গরম লাগের"
"তুই সারাদিন এত এত খাস, তাও মোটা হোস না, আর আমি অল্প খেলেই মোটা হয়ে যাই","তুই আরাদিন এত এত হস, তাও মোটা ন অস, আর আঁই অল্প হাইলিই মোটা অই যাই"
"বাজারে এখন সব জিনিসে ভেজাল, কোনো কিছু কিনতে মন চায় না","বাজারুত এহন বিয়াক জিনিসুত ভেজাল, হনো কিছু কিনতু মনে ন চায়"
বড় ভাইয়ের শ্বশুরবাড়ি অনেক দূরে,বদ্দার অরো বারি বৌত দুরে
এখন আর নানুর বাড়িতে আগের মতো ভালো লাগে না,এহন আর নানারো বারিত আগোর মতন ভালা ন লাগে
"এই গরমে বাইরে বের হওয়া সত্যিই অনেক কষ্টের, রোদের তাপ সহ্য করা যাচ্ছে না","এই গরোমত বাইরে বাইর অন সত্যিই বৌত হষ্টর, রইদুর তাপ সইয্য গরন ন যার"
"আজকে সকাল থেকেই মাথা ঘুরছে, মনে হচ্ছে জ্বর আসছে","আজিয়ে বেইন্নেত্তুন মাথা ঘুরার, মনে অদ্দে জ্বর আইয়্যির"
"বাচ্চাটা কয়েকদিন ধরে জ্বরে ভুগছে, ডাক্তারের কাছে নিয়ে যেতে হবে","বাইচ্চে ইবে হয়েকদিন ধরি জ্বরুত ভুগের, ডাক্তারুর হাছে লই যন ফরিবু"
"আমার নাম রফিক, আমি এই গ্রামে বেড়াতে এসেছি। তুমি কি আমাকে এই গ্রামটা ঘুরে দেখাবে?","আঁর নাম রফিক, আঁই এই গ্রামুত বেরাইতাম আইসসি। তুঁই কি আঁরে এই গ্রাম ইয়েন ঘুরি দেহাইবে?"
ছোট বাচ্চাদের গেমগুলো আমি খেলব না,গুরো ফুওয়া অক্কলুর গেম এগিন আঁই খেইলতাম নো
"ট্রেনের ভেতরে আর জায়গা নেই, ছাদে উঠতে হবে","ট্রেনুর ভিতুরে আর জাগা নেই, ছাদুত উডন ফরিবু"
তুমি চলে যাওয়ার পর থেকে ঘরটা একদম খালি হয়ে গেছে,তুঁই চলি যাইবের পরুত্তুন ঘর ইয়েন এব্বেরে হেইল্যে অই গেইয়্যি
আজকে এত বেশি গরম পড়ছে যে ফ্যানের বাতাসও গরম মনে হচ্ছে,আজিয়ে এতো বেশি গরম পরেদ্দে ফ্যানুর বাতাসও গরম মনে অর
তুই আমার চোখের সামনে থেকে সরে যা,তুই আঁর চোখুর সামনুত্তুন সরি যা
তোর শাশুড়িকে বলিস সামনের মাসে বেড়াতে আসতে,তোর অরিরে হইস সামনুর মাসুত বেরাইতু আইসতো
শীতকালে টাটকা টাটকা সবজি পাওয়া যায়,শীতহালে টাটকা টাটকা সবজি পন যায়
"আমি রান্নাঘরে যাচ্ছি, তুমি বাকি কাজগুলো করে ফেলো","আঁই বসহানাত যাইর, তুঁই বাকি হাম এগিন গরি ফেলো"
"আমি তোমার কথা শুনব না, তোমার যা ইচ্ছা করো","আঁই তোঁয়ার হতা উইনতাম নো, তোঁয়ার যা ইচ্ছে গরো"
"যদি ঝামেলা করতে না চাও, তাহলে এখনই এখান থেকে চলে যাও",যদি ঝামিলে গইত্তো ন চও তইলি এহনই এত্তুন চলি যও
এভাবে আমাদের সবাইকে ফেলে একা চলে যাচ্ছিস,এন গরি আঁরা বিয়াজ্ঞুনুরে ফেলাই এহেল্লে চলি যর
গরুর জন্য কিছু ঘাস কেটে নিয়ে আসতে হবে,গরুর লাই কিছু কের হাডি আনন ফরিবু
সূর্য কখন উঠছে কোন খবর আছে? এখনো ঘুমাচ্ছো,সূর্য হত্তে  উইট্টি হনো হবর আছে? এহনো ঘুম যার
মাছগুলো দেখে মনে হচ্ছে নষ্ট হয়ে গেছে,মাছ এগুন দেহি মনে অদ্দে নষ্ট অই গেইয়্যি
আমাদের পাশে ভারত নামে একটা দেশ আছে,আঁরার পাশে ভারত নামে এক্কান দেশ আছে
"নিজেকে একবার আমার জায়গায় বসিয়ে দেখ, তাহলে বুঝবি আমার কেমন লাগছে","নিজোরে একবার আঁর জাগাত বুওয়াই চা, তইলি বুঝিবি আত্তুন কেন লাগের"
ঘড়িটা তো অনেক সুন্দর! কত নিয়েছে এটা?,ঘড়ি ইবে তো বৌত সুন্দর! হতো লইয়্যি ইবে?
তুই যেটা করেছিস সেটার ফল কিন্তু ভাল হবে না,তুই যিয়েন গইজ্জুস ইয়েন উর ফল কিন্তু ভালা অইতু ন
"আগে বলো টুরে তুমি যাচ্ছ কি না, কারণ তুমি না গেলে আমিও যাব না","আগে হ টুরুত তুঁই যাইতে লেইজ্ঞু কিনা, হারন তুঁই ন যাইলি আঁই ও যাইতাম ন"
তোমার বয়সে আমি বন্ধুদের নিয়ে কত ঘোরাঘুরি করেছি,তোঁয়ার বয়সুত আঁই বন্ধু অক্কল লই হতো ঘোরাঘুরি গইজ্জি
"পরীক্ষার হলে যদি শব্দ করো, তাহলে সবার খাতা নিয়ে ফেলব","পরীক্ষের হলুত যদি শব্দ গরো, তইলি বিয়াজ্ঞুনুর হাতা লই ফেলাইয়্যুম"
"আমাদের গ্রুপে আমরা বিশজন আছি, পুরো বাস ভাড়া নিলে কত পড়বে?","আঁরার গ্রুপুত আঁরা বিশজন আছি, পুরো বাস ভারা লইলি হতো ফরিবু?"
সারাদিন ফোন দেখলে তো মাথা এমনিতেই ব্যথা করবে,আরাদিন ফোন চাইলি তো মাথা এনেই ব্যথা গরিবু
"কসম করে বলছি ভাই, এই কাপড়ে আমার বেশি লাভ হবে না","কসম গরি হইদ্দি বদ্দা, এই হর উত আত্তুন বেশি লাভ ন অইবু"
টাকা দিয়ে সবকিছু কেনা যায় না,টিয়া দি বিয়াক কিছু কিনন ন যায়
"ভাই, সদরঘাট লঞ্চ টার্মিনাল থেকে বরিশালের লঞ্চ কখন ছাড়ে রাতে?","বদ্দা, সদরঘাট লঞ্চ টার্মিনালুত্তুন বারিশালুর লঞ্চ হত্তে ছারে রাতিয়ে?"
"ভাই, গানটা একটু বন্ধ করুন, ফোনে কথা বলতে পারছি না","বদ্দা, গান ইবে এক্কানা বন্ধ গরন, ফোনুত হথা হইত ন ফারির"
"ঘর ওটাতে থাকার মতো অবস্থা নেই, চারদিকে অনেক ময়লা","ঘর ইয়েনুত থাহিবের মতোন অবস্থা নেই, চেরোমিক্কে বৌত হাচারা"
তুমি কে? আমি কি তোমাকে চিনি?,তুঁই হন? আঁই কি তোঁয়ারে চিনি?
"পিঠের ব্যথাটা বেশি বেড়ে গেছে, বসে বসে কাজ করার কারণে এমন হচ্ছে","পিডুর ব্যথাগান বেশি বারি গেইয়্যি, বই বই হাজ গরনুর হারনে এন অর"
রাতের জন্য ফুলকপির তরকারি আর বেগুন ভর্তা আছে,রাতিয়ের লাই ফুলহপ্পির তরহারি আর বেইয়ুন চান্নি আছে
"আমার সঙ্গে মজা করিস না, আমি এখন মজা করার মুডে নেই","আঁর লগে মজা ন গরিস, আঁই এহন মজা গরিবের মুড উত নেই"
সেটা কি আমার মন রাখার জন্য বলছ নাকি মানুষ কিছু বলবে সেজন্য বলছ?,ইয়েন কি আঁর মন রাহিবের লাই হইয়্যু নাকি মাইনষে কিছু হইবু এতেল্লে হইয়্যু?
"এই কাপড়ের কোনো দিনও রং উঠবে না, আমি গ্যারান্টি দিলাম","হর ইবের হনো দিনও রং ন উড়িবু, আঁই গ্যারান্টি দিলাম"
"আমি সত্যি বলছি, আমার মনে কোনো ময়লা নেই","আঁই সত্যি হইদ্দি, আঁর মনোত হনো হাচারা নেই"
পিকনিক শেষে আমরা সমুদ্রপাড়ে সবাই মিলে ফুটবল খেলব,পিকনিক শেষে আঁরা সাগরুর ফারুত বিয়াজ্ঞুন মিলি ফটবল খেইল্লুম
এভাবে কাজ করলে শেষ হবে না,এন গরি হাম গরিলি শেষ ন অইবু
তোমার মাথায় কি কোন বুদ্ধি নাই?,তোঁয়ার মাথাত কি হনো বুদ্ধি নেই?
"তোমার বন্ধু এত ভালো রেজাল্ট করল, আর তুমি কিনা ফেল করলা!","তোঁয়ার বন্ধু এল্লেত ভালা রেজাল্ট গইজ্জি, আর তুঁই কিনা ফেইল গইজ্জু!"
"আজ কলিগের সাথে একটু ভুল-বোঝাবুঝি হয়েছে, তাই একটু মুড অফ","আজিয়ে কলিগুর লগে এক্কানা ভুল বোঝাবুঝি অইয়্যি, এতেল্লে এক্কানা মুড অফ"
মুখে মুখে কথা বললে তো মাথা এমনিতেই খারাপ হয়ে যাবে,মুখে মুখে হতা হইলি তো মাথা এনেই হারাপ অই যাইবু
মামুন ওখানে কি করছে সেটা তো আমি জানি না,মামুন অনডে কি গরের ইয়েন তো আঁই ন জানি
"আচ্ছা, ও কি সবার সঙ্গেই এমন খারাপ ব্যবহার করে?","আইচ্ছে, ইবে কি বিয়াজ্ঞুনুর লগেই এন হারাপ বেবার গরে?"
এই মোবাইলটার ব্যাটারি ব্যাকআপ কেমন?,এই মোবাইল ইবের ব্যাটারি ব্যাকাপ কেন?
"আজকে বাসায় মেহমান আসবে, সেজন্য তাড়াতাড়ি উঠে গেছি","আজিয়ে বাসাত মেমান আইবো, এতেল্লে তারাতারি উডি গেই"
আমি ভাত খাব না রাগ করব আমার মনে জ্বালা,আঁই ভাত ন হাইয়্যুম গুসসা অইয়্যুম আঁর মনোত জ্বালা
"মাঝে মাঝে পাহাড় থেকে হাতি আসে, একবার একটা হাতি একজন মানুষকে মেরে ফেলেছিল","মাঝে মাঝে ফা'রুত্তুন আতি আইয়্যি, একবার উজ্ঞো আতি মানুষ উজ্ঞোরে মারি ফেলাইয়্যিল"
তোর রেজাল্ট কখন দেবে? পাশ করবি তো এবার?,তুর রেজাল্ট হত্তে দিবু? পাশ গরিবিনি এবার?
কোমরে বেশি ব্যথা করছে,কেইলুত বেশি ব্যথা গরের
আমাকে দেখে সালাম দিয়েছে এবং ঘরের সবাই কেমন আছে জিজ্ঞেস করেছে,আঁরে দেহি সালাম দিয়ি আর ঘরোর বিয়াজ্ঞুন কেন আছে ফুস গইজ্জি
"আমার নরওয়েতে যাওয়ার খুব ইচ্ছা, ওখানে নাকি রাত আর দিন অনেক বড় হয়","আত্তুন নরওয়েত যাইবের বৌত ইচ্ছে, এনডে বলে রাইত আর দিন বৌত বরো অয়"
"অনেক বেশি জার্নি হয়ে গেছে, আজকের দিনটা রেস্ট নিতে হবে","বৌত বেশি জার্নি অই গেইয়্যি, আজিয়ের দিন ইয়েন রেস্ট লন ফরিবু"
"আপু, এটা বাসায় নিয়ে গিয়ে পরে দেখেন, যদি সাইজ না হয় তাহলে চেঞ্জ করে দেব","আপা, ইবে বাসাত লই যায় পরি চন, যদি সাইজ ন অয় তইলি চেঞ্জ গরি দিয়্যুম"
"আজ যে মেয়েটাকে দেখতে গিয়েছিলাম, ওকে ভালো মনে হলো","আজিয়ে যে মেইফুওয়ারে চাইতাম গেইলাম, ইবেরে ভালা মনে অইলু"
"নানা যখন বেঁচে ছিলেন, তখন আমাদেরকে অনেক দেখতে পারতেন","নানা যহন বাঁছি আছিল, তহন আঁরারে বৌত দেইত ফাইত্তো"
