Chatgaya,Bangla
ডাক্তার হইয়্যি বেশি রাইত চেতন থাহিবের হারনে স্বাইস্থর বৌত হতি অর,ডাক্তার বললেন বেশি রাত জেগে থাকার কারণে স্বাস্থ্যের অনেক ক্ষতি হচ্ছে
স আঁর বাগান ইয়েন হতো সুন্দর!,দেখো আমার বাগানটা কত সুন্দর!
স্যার যে হোমওয়ার্ক দিয়ি এগিন গইজ্জো?,স্যার যে হোমওয়ার্ক দিয়েছে সেগুলো করেছ?
"নানির বয়স অইয়্যি, এতেল্লে বিয়াক ভুলি যায়","নানুর বয়স হয়েছে, সেজন্য সবকিছু ভুলে যায়"
"পানি পরি চুলোর অইন নিফি গেইয়্যি, আবার জলাই দও তো","পানি পড়ে চুলার আগুন নিভে গেছে, আবার জ্বালিয়ে দাও তো"
আঁই তোঁয়ারে বৌত বৌত ভালবাসি,আমি তোমাকে অনেক অনেক ভালবাসি
মনোত থাহিবু কি কি আনন ফরিবু?,মনে থাকবে কি কি আনতে হবে?
"আজিয়ে সুর্য হুনদি উইট্টি, তুই আঁর বারিত!","আজ সূর্য কোন দিকে উঠছে, তুই আমার বাড়িতে!"
তোঁয়ারে সবুজ রঙুর হরে বৌত মানাইবু,তোমাকে সবুজ রঙের কাপড়ে অনেক মানাবে
"আম্মু, আঁই বন্ধুর লগে বিয়েলে এক্কানা আইটতাম বাইর অইয়্যুম","মা, আমি বন্ধুর সাথে বিকেলে একটু হাঁটতে বের হব"
"তোরে দেহি চিনা চিনা লাগের, তোর নাক কি শরীফ?","তোরে দেখে চেনা চেনা লাগছে, তোর নাম কি শরীফ?"
"আঁরার বাস কুমিল্লেত এক্কান হোটেলুত থামিবু, আঁরা এনডেত্তুন রাতিয়ের হানা হায় লইয়্যুম","আমাদের বাস কুমিল্লায় একটা হোটেলে থামবে, আমরা ওখান থেকে রাতের খাবার খেয়ে নেব"
তোঁয়ারে আ'সিলি বৌত সুন্দর লাগে,তোমাকে হাসলে অনেক সুন্দর লাগে
আজিয়ে ক্লাসুত যা পরাইয়্যি বিয়াক আঁর মাথার উদ্দি গেইয়্যি,"আজ ক্লাসে যা পড়িয়েছে, সব আমার মাথার ওপর দিয়ে গেছে"
ভেগ্য ভালা আছিল বলি এদিন্নে দুর্ঘটনাত্তুন বাচি গেইলাম,ভাগ্য ভালো ছিল বলেই সেদিন দুর্ঘটনা থেকে বেঁচে গিয়েছিলাম
"বেশি ঠান্ডা লার, ফ্যান ইবে বন গরো","বেশি ঠান্ডা লাগছে, ফ্যানটা বন্ধ করো"
"আগে যে শারি গান লইলাম, ইয়েনুর মতন আরেক্কান শারি দন","আগে যে শাড়িটা নিয়েছিলাম, ওটার মতো আরেকটা শাড়ি দিন"
বাদ্দিত্তুন চিয়ার ইয়েন ঘরুত লই আইয়্যো,বাহির থেকে চেয়ারটা ঘরে নিয়ে এসো
"মারুফ, তুর আফারে এক্কানা মে'দি লাগায় দে","মারুফ, তোর আপুকে একটু মেহেদি লাগিয়ে দে"
"আকাশুত হালা মৌলো জইম্মি, মনে অদ্দে আজিয়ে রাতিয়ে ভারী বৃষ্টি অইবু","আকাশে কালো মেঘ জমছে, মনে হচ্ছে আজকে রাতে ভারী বৃষ্টি হবে"
"তুর আফার প্রেশার বারি গেইয়্যি, হারা উজ্ঞো ডাক্তোর লই আয়","তোর আপুর প্রেশার বেড়ে গেছে, জলদি একটা ডাক্তার নিয়ে আয়"
"বন্যার পানিত যারার হতি অইয়্যি, ইতারারে সরকারুর পক্ষত্তুন কিছু টিয়া হতিফুরন দিবু","বন্যার পানিতে যাদের ক্ষতি হয়েছে, তাদেরকে সরকারের পক্ষ থেকে কিছু টাকা ক্ষতিপূরণ দেওয়া হবে"
তুঁই কি হইত পারো আজিয়ে কি অইয়্যি?,তুমি কি জান আজকে কি হয়েছে?
"আঁর লগে ছোডো ফুওয়া আছে, এতেল্লে এক্কানা সামনুর সিট দিলি ভালা অইতু","আমার সাথে ছোট বাচ্চা আছে, তাই একটু সামনের সিট দিলে ভালো হতো"
"আঁরো ঘরুত ঝামিলে গরের, এতেল্লে যাইত ন ফারির","আমার ঘরে ঝামেলা করছে, তাই যেতে পারছি না"
নানারো বারিত্তুন হালারো বারিত হম যন অয়,নানুর বাড়ি থেকে খালুর বাড়ি কম যাওয়া হয়
গরম হর পরি বাইর অইয়্যুন তো? আজিয়্যে বাইরে বেশি ঠাণ্ডা,গরম কাপড় পড়ে বের হয়েছেন তো? আজকে বাইরে বেশি ঠাণ্ডা
বাজারোত যাইবের সমত ৫০০ টিয়া আঝায় ফেলাই,বাজারে যাওয়ার সময় ৫০০ টাকা হারিয়ে ফেলেছি
তুই কি ফঅল অই গেইয়্যুস! এগিন কি হস?,তুই কি পাগল হয়ে গেছিস! এসব কী বলিস?
অঁনোর দোয়ানুত গুরো ফুওয়া অলুর হরুর কালেকশন কেন?,আপনার দোকানে ছোট বাচ্চাদের কাপড়ের কালেকশন কেমন?
"বিয়াক দোষ তোঁয়ার, তোঁয়ার হারোনে এগিন অর","সব দোষ তোমার, তোমার জন্য এসব হচ্ছে"
"দরজা ইয়েন বন্ধ গরি দও, বাইরেত্তুন শব্দ আইয়্যির","দরজাটা একটু বন্ধ করে দাও, বাইরে থেকে শব্দ আসছে"
"কিয়াই আঁরার উদ্দি যাদু গইজ্জি, নইলি আঁরার ভিতুর এল্লেত হইজ্জে কা অর?","কেউ আমাদের ওপর যাদু করেছে, না হলে আমাদের মধ্যে এত ঝগড়া কেন হচ্ছে?"
"আঁরা বিয়াজ্ঞুন মাডোত, তুই এহন হনডে?","আমরা সবাই মাঠে, তুই এখন কোথায়?"
"আঁর পেডোত আর জাগা নাই, আর নইদ্দো","আমার পেটে আর জায়গা নাই, আর দিও না"
"আজিয়ে আর ভত্তা ন গইজ্জো, বেশি ভত্তা হাইলি পেট হারাপ অই যাইবু","আজ আর ভর্তা করো না, বেশি ভর্তা খেলে পেট খারাপ হয়ে যাবে"
হানা তো বিয়াক ঠান্ডা অই যার,খাবার তো সব ঠান্ডা হয়ে যাচ্ছে
কেন আছো জরিনা? তোঁয়ার লাই বৌত পেট পুরের,কেমন আছো জরিনা? তোমাকে অনেক মিস করতাছি
"আর হতো মানুষ লইবেন, এনডে জাগা হনডে?","আর কত মানুষ নেবেন, এখানে জায়গা কোথায়?"
বেইন্নের সূর্য ইবে বৌত সুন্দর,সকালের সূর্য অনেক সুন্দর
"অতিরিক্ত দুশ্চিন্তে গরিলি মাথাত যন্ত্রনা শুরু অয়, হনো হাজুত মন ন বইয়্যি","অতিরিক্ত দুশ্চিন্তা করলে মাথায় যন্ত্রণা শুরু হয়, কোনো কাজেই মন বসে না"
বিপদুত ফরিলি তহন  মানুষুর আসল চিয়ারা দেহা যায়,বিপদে পড়লে তখন মানুষের আসল চেহারা দেখা যায়
"আত্তুন এহন হাইতু মনে ন হর, তুঁই হায় লও, আঁই পরে হাইয়্যুম","আমার এখন খেতে ইচ্ছে করছে না, তুমি খেয়ে নাও, আমি পরে খাব"
"তোঁয়ারে হইলাম দে রাতিয়ে ১০টার আগে ঘুমাই যাইতু, আর তুঁই কিন ফোন টিপো!","তোমাকে বলেছিলাম রাত ১০টার আগে ঘুমিয়ে যেতে, আর তুমি কিনা ফোন টিপো!"
"কিরে, তোর প্রেমিকার বলে বিয়ে অই যার?","কিরে, তোর প্রেমিকার নাকি বিয়ে হয়ে যাচ্ছে?"
"আঁর মাথা ঘুরার, কী গইজ্জুম ন বুঝির","আমার মাথা ঘুরছে, কী করব বুঝছি না"
"জামিল স্যার উর ক্লাসুত আঁর খুব বিরক্ত লাগে, কি পরাই আগামাথা ন বুঝি","জামিল স্যারের ক্লাসে আমার খুব বিরক্ত লাগে, কী পড়ান আগামাথা বুঝি না"
"আঁর ছোডো ভাই আরাদিন উদো ভাত আর ডেইল হায়, অন্য কিছু মুখুত ন তোলে","আমার ছোট ভাই সারাদিন শুধু ভাত আর ডাল খায়, অন্য কিছু মুখে তোলে না"
"না বদ্দা, এনডে হনো রিকশা নেই, অঁনুত্তুন আডিইরে হোটেল উত যন ফরিবু","না ভাই, এখানে কোনো রিকশা নেই, আপনাকে হেঁটেই হোটেলে যেতে হবে"
"আঁই ডাক্তারুর সিরিয়েল পাইদি এব্বেরে শেষে, বিয়াক বিরক্ত লাগের","আমি ডাক্তারের সিরিয়াল পেয়েছি একদম শেষে, সবই বিরক্ত লাগছে"
আঁই গত দুদিন ধরি শরীলুত জ্বর লই হাজ গরির,আমি গত দুদিন ধরে শরীরে জ্বর নিয়ে কাজ করেছি
"আজিয়ে আইত ফাইত্তাম ন, অন্য আরেকদিন আইসসুম","আজকে আসতে পারব না, অন্য আরেকদিন আসব"
তোর বাফ বলে আরেকগো বিয়ে গইজ্জি? ঘটনা ইয়েন কি সত্যি?,তোর বাবা নাকি আরেকটা বিয়ে করছেন? ঘটনাটা কি সত্যি?
"রমজানুত বেশি বেশি নামাজ আর জিকির গরন ফরিবু, আর সুযোগ অইলি উজ্ঞো কোরআন হতম দন ফরিবু","রমজানে বেশি বেশি নামাজ আর জিকির করতে হবে, আর সুযোগ হলে একটা কোরআন খতম দিতে হবে"
আঁরে আজিয়ের হাজুর টিয়াগুন দি দন,আমাকে আজকের কাজের টাকাগুলো দিয়ে দিন
সকালে উডি হতক্ষন আডিলি শরীল ভালা থাহে,সকালে উঠে কিছুক্ষণ হাঁটলে শরীর ভালো থাকে
নানি থাহিলি আম্মু আর আঁরারে গেইল দিত ন ফারে,নানু থাকলে আম্মু আর আমাদেরকে বকা দিতে পারে না
আসসালামু আলাইকুম স্যার,আসসালামু আলাইকুম স্যার
লগে ইবেও লই যো,সাথে এটাও নিয়ে যাও
"বাইরে যেল্লেত ইচ্ছে গর, কিন্তু ঘরোত অশান্তি গরন যাইতু ন","বাইরে যা ইচ্ছা কর, কিন্তু ঘরে অশান্তি করা যাবে না"
"নাদিম হর ধুইতো গেইয়্যি, ইতে এক্কানা পরে আইবু","নাদিম কাপড় ধুতে গেছে, সে একটু পরে আসবে"
হর ইবে তো ধোঅনুর পরে রঙ উডি যাইবু,কাপড়টা তো ধোয়ার পরে রঙ উঠে যাবে
"আব্বু, স্যার হইয়্যিল স্কুলুর বেতন আজিয়ে দি দিতো","বাবা, স্যার বললেন স্কুলের বেতন আজ দিয়ে দিতে"
"স্যার, এক্কানা উনন, আঁর এক্কান জরুরি হতা হইবের আছিল","স্যার, একটু শুনুন, আমার একটা জরুরি কথা বলার ছিল"
গাধার মতন আরাদিন ন হাডি এক্কানা চালাকি গরিলি হাজ ইয়েন বৌত আগেই শেষ অই যাইতু,গাধার মতো সারাদিন না খেটে একটু চালাকি করলে কাজটা অনেক আগেই শেষ হয়ে যেত
হনো সমস্যা অইয়্যি? তোঁয়ারে দেহি চিন্তিত মনে অর,কোনো সমস্যা হয়েছে? তোমাকে দেখে চিন্তিত মনে হচ্ছে
"আজিয়ে হঠাৎ বুকুত চাপ অনুভব গরির, কি অইয়্যি ন বুঝির","আজকে হঠাৎ বুকে চাপ অনুভব করছি, কী হয়েছে বুঝছি না"
ফঅলে কী নহয় আর ছঅলে কী ন হায়,"পাগলে কী না বলে, আর ছাগলে কী না খায়"
বিদেশুত গেলি আঁর হতা মনত থাহিবু তো?,বিদেশে গেলে আমার কথা মনে থাকবে তো?
"বিয়াক কিছু সম্ভব, কিন্তু আঁর মুখ দি মিছে বাইর অন সম্ভব নো","সবকিছু সম্ভব, কিন্তু আমার মুখ দিয়ে মিথ্যা বের হওয়া সম্ভব না"
"আইচ্ছে ঠিক আছে, আঁই এহন যাইর","আচ্ছা ঠিক আছে, আমি এখন যাচ্ছি"
ফইত্তোদিন একই হাজ গত্তে গত্তে বিরক্ত অই গেই,প্রতিদিন একই কাজ করতে করতে বিরক্ত হয়ে গেছি
"চট্টগ্রাম-কক্সবাজার রোড বৌত বিপদজনক, এই রোড উত ফইত্তুদিন এক্সিডেন্ট অয়","চট্টগ্রাম-কক্সবাজার রোড অনেক বিপদজনক, এই রোডে প্রতিদিন এক্সিডেন্ট হয়"
"স্যার, অঁনে হইলেন ক্লাস টেস্ট ন লই অ্যাসাইনমেন্ট দিবেন","স্যার, আপনি বলেছিলেন ক্লাস টেস্ট না নিয়ে অ্যাসাইনমেন্ট দেবেন"
"আঁর ঘুম চলি আইসসিল, হত্তে যে ঢাহাত পৌছি গেই বুঝিতিই ন ফারি","আমার ঘুম চলে আসছিল, কখন যে ঢাকায় পৌঁছে গেছি বুঝতেই পারিনি"
"অঁনে একসময় বৌত ভালা আছিলেন, এহন হারাপ অই গেইয়্যুন","আপনি একসময় অনেক ভালো ছিলেন, এখন খারাপ হয়ে গেছেন"
"বদ্দা, এক গ্লাস ঠান্ডা পানি দন তো, বৌত পানির তিরেশ পেইয়্যি","ভাই, এক গ্লাস ঠান্ডা পানি দিন তো, খুব পানির তৃষ্ণা পেয়েছে"
"মা, আজিয়ে এক্কানা আগে রান্না গরো, আব্বুর অফিসুত যাইতে দেরি অই যার","মা, আজ একটু আগে রান্না করো, বাবার অফিসে যেতে দেরি হয়ে যাচ্ছে"
বিয়ে আজিয়ে নাকি হালিয়ে?,বিয়ে আজ নাকি আগামীকাল?
"বন্ধু, বিরি হন ভালা ন","বন্ধু, বিড়ি খাওয়া ভাল না"
আঁই অনডে যাইতে বাধ্য নই,আমি ওখানে যেতে বাধ্য নই
"আম্মু, আঁর লাই দোয়া গইজ্জো, আজিয়ে এক্কান ইন্টারভিউ দিতাম যাইর","মা, আমার জন্য দোয়া করিও, আজকে একটা ইন্টারভিউ দিতে যাচ্ছি"
"আরে, বন্ধু ছারা জীবন ইয়েন যেন লবণ ছারা তরহারির মতন","আরে, বন্ধু ছাড়া জীবনটা যেন লবণ ছাড়া তরকারির মতো"
আঁই হিসেব গরি ন চায় হতো টিয়া আছে,আমি হিসাব করে দেখিনি কত টাকা আছে
"পরীক্ষের আর বেশি দিন বাকি নেই, কিন্তু এহনো হনো পরালেহা ন গরির","পরীক্ষার আর বেশি দিন বাকি নাই, কিন্তু এখনো কোনো পড়ালেখা করছিনা"
প্রতিবেশী অক্কলোর হক আদায় গরন উচিত,প্রতিবেশীদের হক আদায় করা উচিত
"পরিবার, বন্ধু আর ভালোবাসার মানুষুর লগে সময় হাডাইত ফারিলি মন ইয়েন একদম ভালা অই যায়","পরিবার, বন্ধু আর ভালোবাসার মানুষদের সঙ্গে সময় কাটাতে পারলে মনটা একদম ভালো হয়ে যায়"
অতিরিক্ত গরমুত হাজ গরিলি শরীলুত্তুন পানি বাইর অই যায়,অতিরিক্ত গরমে কাজ করলে শরীর থেকে পানি বেরিয়ে যায়
গুরো থাকতে আঁরার গু-মুত আম্মু সাফ গইত্তো,ছোটবেলায় আমাদের পায়খানা–প্রস্রাব আম্মু পরিষ্কার করতেন
এই বৃষ্টিত আঁরার গ্রামুর কেচা রাস্তা একেবারে ফুটে ভরি গেইয়্যি,এই বৃষ্টিতে আমাদের গ্রামের কাঁচা রাস্তা একেবারে কাদায় ভরে গেছে
"বদ্দা, বাসুর এসি ইবে অন গরন, বৌত গরম লাগের","ভাই, বাসের এসিটা অন করেন, অনেক গরম লাগছে"
"বাজারুত এহন বিয়াক জিনিসুত ভেজাল, হনো কিছু কিনতু মনে ন চায়","বাজারে এখন সব জিনিসে ভেজাল, কোনো কিছু কিনতে মন চায় না"
বদ্দার অরো বারি বৌত দুরে,বড় ভাইয়ের শ্বশুরবাড়ি অনেক দূরে
এহন আর নানারো বারিত আগোর মতন ভালা ন লাগে,এখন আর নানুর বাড়িতে আগের মতো ভালো লাগে না
"এই গরোমত বাইরে বাইর অন সত্যিই বৌত হষ্টর, রইদুর তাপ সইয্য গরন ন যার","এই গরমে বাইরে বের হওয়া সত্যিই অনেক কষ্টের, রোদের তাপ সহ্য করা যাচ্ছে না"
"আজিয়ে বেইন্নেত্তুন মাথা ঘুরার, মনে অদ্দে জ্বর আইয়্যির","আজকে সকাল থেকেই মাথা ঘুরছে, মনে হচ্ছে জ্বর আসছে"
"বাইচ্চে ইবে হয়েকদিন ধরি জ্বরুত ভুগের, ডাক্তারুর হাছে লই যন ফরিবু","বাচ্চাটা কয়েকদিন ধরে জ্বরে ভুগছে, ডাক্তারের কাছে নিয়ে যেতে হবে"
"আঁর নাম রফিক, আঁই এই গ্রামুত বেরাইতাম আইসসি। তুঁই কি আঁরে এই গ্রাম ইয়েন ঘুরি দেহাইবে?","আমার নাম রফিক, আমি এই গ্রামে বেড়াতে এসেছি। তুমি কি আমাকে এই গ্রামটা ঘুরে দেখাবে?"
"আঁর বউ উর বৌতদিন ধরি অসুখ, এতেল্লে আত্তুন হয়েকদিনুর ছুটি দুরহার","আমার স্ত্রীর অনেক দিন ধরে অসুখ, তাই আমার কয়েক দিনের ছুটি দরকার"
"ট্রেনুর ভিতুরে আর জাগা নেই, ছাদুত উডন ফরিবু","ট্রেনের ভেতরে আর জায়গা নেই, ছাদে উঠতে হবে"
তুঁই চলি যাইবের পরুত্তুন ঘর ইয়েন এব্বেরে হেইল্যে অই গেইয়্যি,তুমি চলে যাওয়ার পর থেকে ঘরটা একদম খালি হয়ে গেছে
আজিয়ে এতো বেশি গরম পরেদ্দে ফ্যানুর বাতাসও গরম মনে অর,আজকে এত বেশি গরম পড়ছে যে ফ্যানের বাতাসও গরম মনে হচ্ছে
তুই আঁর চোখুর সামনুত্তুন সরি যা,তুই আমার চোখের সামনে থেকে সরে যা
তোর অরিরে হইস সামনুর মাসুত বেরাইতু আইসতো,তোর শাশুড়িকে বলিস সামনের মাসে বেড়াতে আসতে
শীতহালে টাটকা টাটকা সবজি পন যায়,শীতকালে টাটকা টাটকা সবজি পাওয়া যায়
"আঁই তোওয়াই ফাই, তোঁয়াত্তুন আর তোওয়ান ফইত্তো নো","আমি খুঁজে পেয়েছি, তোমাকে আর খুঁজতে হবে না"
"আগে যেগুন হায় এগুন অজম গরি, তারপর বাকিগুন হাইয়্যুম","আগে যেগুলো খেয়েছি সেগুলো হজম করি, তারপর বাকিগুলো খাব"
যদি ঝামিলে গইত্তো ন চও তইলি এহনই এত্তুন চলি যও,"যদি ঝামেলা করতে না চাও, তাহলে এখনই এখান থেকে চলে যাও"
বিদেশুত দেহি কুত্তো অক্কলুরে বৌত আদর গরে,বিদেশে দেখি কুকুরদের অনেক আদর করে
গরুর লাই কিছু কের হাডি আনন ফরিবু,গরুর জন্য কিছু ঘাস কেটে নিয়ে আসতে হবে
সূর্য হত্তে  উইট্টি হনো হবর আছে? এহনো ঘুম যার,সূর্য কখন উঠছে কোন খবর আছে? এখনো ঘুমাচ্ছো
মাছ এগুন দেহি মনে অদ্দে নষ্ট অই গেইয়্যি,মাছগুলো দেখে মনে হচ্ছে নষ্ট হয়ে গেছে
গোসল নগরস পইত্তোদিন? গা'আদ্দি কেন গন্ধ বাইর অর,গোসল করিস না প্রতিদিন? গা দিয়ে কেমন গন্ধ বের হচ্ছে
"নিজোরে একবার আঁর জাগাত বুওয়াই চা, তইলি বুঝিবি আত্তুন কেন লাগের","নিজেকে একবার আমার জায়গায় বসিয়ে দেখ, তাহলে বুঝবি আমার কেমন লাগছে"
ঘড়ি ইবে তো বৌত সুন্দর! হতো লইয়্যি ইবে?,ঘড়িটা তো অনেক সুন্দর! কত নিয়েছে এটা?
তুই যিয়েন গইজ্জুস ইয়েন উর ফল কিন্তু ভালা অইতু ন,তুই যেটা করেছিস সেটার ফল কিন্তু ভাল হবে না
"আগে হ টুরুত তুঁই যাইতে লেইজ্ঞু কিনা, হারন তুঁই ন যাইলি আঁই ও যাইতাম ন","আগে বলো টুরে তুমি যাচ্ছ কি না, কারণ তুমি না গেলে আমিও যাব না"
তোঁয়ার বয়সুত আঁই বন্ধু অক্কল লই হতো ঘোরাঘুরি গইজ্জি,তোমার বয়সে আমি বন্ধুদের নিয়ে কত ঘোরাঘুরি করেছি
"পরীক্ষের হলুত যদি শব্দ গরো, তইলি বিয়াজ্ঞুনুর হাতা লই ফেলাইয়্যুম","পরীক্ষার হলে যদি শব্দ করো, তাহলে সবার খাতা নিয়ে ফেলব"
"আঁরার গ্রুপুত আঁরা বিশজন আছি, পুরো বাস ভারা লইলি হতো ফরিবু?","আমাদের গ্রুপে আমরা বিশজন আছি, পুরো বাস ভাড়া নিলে কত পড়বে?"
আরাদিন ফোন চাইলি তো মাথা এনেই ব্যথা গরিবু,সারাদিন ফোন দেখলে তো মাথা এমনিতেই ব্যথা করবে
"কসম গরি হইদ্দি বদ্দা, এই হর উত আত্তুন বেশি লাভ ন অইবু","কসম করে বলছি ভাই, এই কাপড়ে আমার বেশি লাভ হবে না"
টিয়া দি বিয়াক কিছু কিনন ন যায়,টাকা দিয়ে সবকিছু কেনা যায় না
"বদ্দা, সদরঘাট লঞ্চ টার্মিনালুত্তুন বারিশালুর লঞ্চ হত্তে ছারে রাতিয়ে?","ভাই, সদরঘাট লঞ্চ টার্মিনাল থেকে বরিশালের লঞ্চ কখন ছাড়ে রাতে?"
"বদ্দা, গান ইবে এক্কানা বন্ধ গরন, ফোনুত হথা হইত ন ফারির","ভাই, গানটা একটু বন্ধ করুন, ফোনে কথা বলতে পারছি না"
"ঘর ইয়েনুত থাহিবের মতোন অবস্থা নেই, চেরোমিক্কে বৌত হাচারা","ঘর ওটাতে থাকার মতো অবস্থা নেই, চারদিকে অনেক ময়লা"
"এনডে কিয়াই কিয়ারে বাধ্য ন গরের, বিয়াজ্ঞুন নিজুর ইচ্ছেই যার","এখানে কেউ কাউকে বাধ্য করছে না, সবাই নিজের ইচ্ছায় যাচ্ছে"
"পিডুর ব্যথাগান বেশি বারি গেইয়্যি, বই বই হাজ গরনুর হারনে এন অর","পিঠের ব্যথাটা বেশি বেড়ে গেছে, বসে বসে কাজ করার কারণে এমন হচ্ছে"
রাতিয়ের লাই ফুলহপ্পির তরহারি আর বেইয়ুন চান্নি আছে,রাতের জন্য ফুলকপির তরকারি আর বেগুন ভর্তা আছে
"আঁর লগে মজা ন গরিস, আঁই এহন মজা গরিবের মুড উত নেই","আমার সঙ্গে মজা করিস না, আমি এখন মজা করার মুডে নেই"
ইয়েন কি আঁর মন রাহিবের লাই হইয়্যু নাকি মাইনষে কিছু হইবু এতেল্লে হইয়্যু?,সেটা কি আমার মন রাখার জন্য বলছ নাকি মানুষ কিছু বলবে সেজন্য বলছ?
"হর ইবের হনো দিনও রং ন উড়িবু, আঁই গ্যারান্টি দিলাম","এই কাপড়ের কোনো দিনও রং উঠবে না, আমি গ্যারান্টি দিলাম"
"আঁই সত্যি হইদ্দি, আঁর মনোত হনো হাচারা নেই","আমি সত্যি বলছি, আমার মনে কোনো ময়লা নেই"
পিকনিক শেষে আঁরা সাগরুর ফারুত বিয়াজ্ঞুন মিলি ফটবল খেইল্লুম,পিকনিক শেষে আমরা সমুদ্রপাড়ে সবাই মিলে ফুটবল খেলব
এন গরি হাম গরিলি শেষ ন অইবু,এভাবে কাজ করলে শেষ হবে না
তোঁয়ার মাথাত কি হনো বুদ্ধি নেই?,তোমার মাথায় কি কোন বুদ্ধি নাই?
"তোঁয়ার বন্ধু এল্লেত ভালা রেজাল্ট গইজ্জি, আর তুঁই কিনা ফেইল গইজ্জু!","তোমার বন্ধু এত ভালো রেজাল্ট করল, আর তুমি কিনা ফেল করলা!"
"আজিয়ে কলিগুর লগে এক্কানা ভুল বোঝাবুঝি অইয়্যি, এতেল্লে এক্কানা মুড অফ","আজ কলিগের সাথে একটু ভুল-বোঝাবুঝি হয়েছে, তাই একটু মুড অফ"
মুখে মুখে হতা হইলি তো মাথা এনেই হারাপ অই যাইবু,মুখে মুখে কথা বললে তো মাথা এমনিতেই খারাপ হয়ে যাবে
মামুন অনডে কি গরের ইয়েন তো আঁই ন জানি,মামুন ওখানে কি করছে সেটা তো আমি জানি না
"আইচ্ছে, ইবে কি বিয়াজ্ঞুনুর লগেই এন হারাপ বেবার গরে?","আচ্ছা, ও কি সবার সঙ্গেই এমন খারাপ ব্যবহার করে?"
এই মোবাইল ইবের ব্যাটারি ব্যাকাপ কেন?,এই মোবাইলটার ব্যাটারি ব্যাকআপ কেমন?
"আজিয়ে বাসাত মেমান আইবো, এতেল্লে তারাতারি উডি গেই","আজকে বাসায় মেহমান আসবে, সেজন্য তাড়াতাড়ি উঠে গেছি"
আঁই ভাত ন হাইয়্যুম গুসসা অইয়্যুম আঁর মনোত জ্বালা,আমি ভাত খাব না রাগ করব আমার মনে জ্বালা
"মাঝে মাঝে ফা'রুত্তুন আ'তি আইয়্যি, একবার উজ্ঞো আ'তি মানুষ উজ্ঞোরে মারি ফেলাইয়্যিল","মাঝে মাঝে পাহাড় থেকে হাতি আসে, একবার একটা হাতি একজন মানুষকে মেরে ফেলেছিল"
তুর রেজাল্ট হত্তে দিবু? পাশ গরিবিনি এবার?,তোর রেজাল্ট কখন দেবে? পাশ করবি তো এবার?
কেইলুত বেশি ব্যথা গরের,কোমরে বেশি ব্যথা করছে
আঁরে দেহি সালাম দিয়ি আর ঘরোর বিয়াজ্ঞুন কেন আছে ফুস গইজ্জি,আমাকে দেখে সালাম দিয়েছে এবং ঘরের সবাই কেমন আছে জিজ্ঞেস করেছে
"ঘরুত আঁর লগে কিয়াই ডরে হথাও ন হয়, হত্তে হারে কি উনই দি, তার হনো বিশ্বেস নেই","ঘরে আমার সঙ্গে কেউ ভয়ে কথাও বলে না, কখন কাকে কী শুনিয়ে দিই, তার কোনো বিশ্বাস নেই"
"বৌত বেশি জার্নি অই গেইয়্যি, আজিয়ের দিন ইয়েন রেস্ট লন ফরিবু","অনেক বেশি জার্নি হয়ে গেছে, আজকের দিনটা রেস্ট নিতে হবে"
"আপা, ইবে বাসাত লই যায় পরি চন, যদি সাইজ ন অয় তইলি চেঞ্জ গরি দিয়্যুম","আপু, এটা বাসায় নিয়ে গিয়ে পরে দেখেন, যদি সাইজ না হয় তাহলে চেঞ্জ করে দেব"
"আজিয়ে যে মেইফুওয়ারে চাইতাম গেইলাম, ইবেরে ভালা মনে অইলু","আজ যে মেয়েটাকে দেখতে গিয়েছিলাম, ওকে ভালো মনে হলো"
"নানা যহন বাঁছি আছিল, তহন আঁরারে বৌত দেইত ফাইত্তো","নানা যখন বেঁচে ছিলেন, তখন আমাদেরকে অনেক দেখতে পারতেন"
"বেশি রাইত ন জাগিস, হারা ঘুম যাগো","বেশি রাত জাগিস না, জলদি ঘুমিয়ে যা"
আঁর চাচা অক্কল আঁরারে দেহি হিংসে গরে,আমার চাচারা আমাদের দেখে হিংসা করে
"তোঁয়ার লগে হতা হইলি সময় যে হত্তে চলি যায়, বুঝিতই ন পারি","তোমার সঙ্গে কথা বললে সময় যে কখন চলে যায়, বুঝতেই পারি না"
"বিয়াক কিছুর দাম বেশি, এতেল্লে এক কেজি আলু লই চলি আইস্যি","সবকিছুর দাম বেশি, সেজন্য এক কেজি আলু নিয়ে চলে এলাম"
"আঁর অদ্ধক হাজ শেষ অই গেইয়্যি, বাকি অদ্ধক পরে গইজ্জুম","আমার অর্ধেক কাজ শেষ হয়ে গেছে, বাকি অর্ধেক পরে করব"
"এহন দিনহাল ভালা ন, বাদ্দি বাইর ন অইস","এখন দিনকাল ভালো না, বাইরে বের হবি না"
"বন্ধু, ভাবির আতোর রান্না তো সেই মজা","বন্ধু, ভাবির হাতের রান্না তো সেই মজা"
"তুঁই বৌত জারগো আছো, তোঁয়ারে আত্তুন ভালা লেইজ্ঞি","তুমি অনেক দুষ্টু আছো, তোমাকে আমার ভাল লেগেছে"
"এনে হই যাইর এরি, হনে উনে হার হতা","এমনি বলে যাচ্ছি আর কী, কে শোনে কার কথা"
ইতে হনডে গেইয়্যি ইয়েন কি তুঁই জানো?,সে কোথায় গেছে সেটা কি তুমি জানো?
